ID,depth,age,Abiskomyia,Ablabesmyia,Acamptocladius,Apedilum spp.,Brillia,Cardiocladius spp.,Chaetocladius spp.,Chironomus spp.,Cladopelma spp.,Cladotanytarsus spp.,Constempellina,Corynocera ambigua-type,Corynocera oliveri-type,Corynoneura Thienemanniella spp.,Cricotopus Orthocladius spp.,Cryptochironomus,Cryptotendipes,Cyphomella Harnischia Paracladopelma spp.,Derotanypus,Diamesa spp.,Dicrotendipes spp.,Doithrix Pseudorthocladius spp.,Einfeldia spp.,Endochironomus spp.,Eukieffferiella Tvetenia spp.,Georthocladius spp,Glyptotendipes spp.,Heterotanytarsus,Heterotrissocladius spp,Hydrobaenus Oliveridia spp.,Labrundinia,Lasiodiamesa,Lauterborniella Zavreliella spp.,Limnophyes Paralimnophyes,Mesocricotopus,Metriocnemus spp.,Micropsectra spp.,Microtendipes spp.,Monodiamesa,Nanocladius spp.,Nilothauma,Omisus,Pagastiella,Parachironomus spp.,Paracladius,Paracricotopus,Parakiefferiella spp.,Paralauterborniella spp.,Parametriocnemus,Parasmittia,Paratendipes spp.,Pentaneurini other,Phaenopsectra spp.,Polypedilum spp.,Potthastia spp.,Procladius,Protanytpus ,Psectrocladius Allopsectrocladius Mesopsectrocladius spp.,Psectrocladius Monopsectrocladius,Psectrocladius Psectrocladius spp.,Pseudochironomus,Pseudosmittia Smittia spp.,Pseudodiamesa,Rheocricotopus spp.,Sergentia spp.,Stempellina,Stempellinella Zavrelia spp,Stictochironomus spp.,Symposiocladius lignicola,Synorthocladius,Tanypus,Tanytarsina other,Thienemannimyia type,Tribelos,Xenochironomus,Zalutschia spp.,Zalutschia zalutschicola,Zavrelimyia type
44,193,3.57505,22.5,0,0,0,0,0,0,9.375,0,0,0,0,1.25,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.125,0,0,0,0,0,0,0,25.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,3.125,0,0,0.625,0,0,0,14.375,0,0,0,8.125,0,0
45,198,3.65407,18.6885,0,0,0,0,0,0,5.57377,0,0,0,0,0,0,17.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983607,0,0,0,0,0,0,0,4.59016,0,0,0,0,0,0,0,19.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27869,0,0,2.62295,0,0,0.983607,0,0,0,17.377,0,0,0,8.19672,0,0
46,203,3.73308,6.50888,0,0,0,0,0,0,16.568,0,0,0,0,0,0,24.2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36686,3.5503,0,0,0,0,0,0,0,20.1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591716,0,3.5503,0,0,1.18343,0,0,1.18343,0,0,0,14.2012,0,0,0,5.91716,0,0
47,208,3.8121,40,0,0,0,0,0,0,12.7273,0,0,0,0,0,0,10.9091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81818,0,0,0,0,0,0,0,20.9091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909091,0,0,0,0,2.72727,0,0,0,0,0,0,8.18182,0,0,0,1.81818,0,0
48,213,3.9644,46.8354,0,0,0,0,0,0,6.32911,0,0,0,0,0,0,6.32911,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26582,0,0,0,0,0,0,2.53165,0,0,0,0,0,0,0,0,17.7215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53165,0,0,5.06329,0,0,0,8.86076,0,0,0,2.53165,0,0
49,223,4.2853,61.165,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94175,0,0,0,0,8.73786,0,0,2.91262,0,0,0,0.970874,0,0,0,5.82524,0,0
50,228,4.44575,22.7848,0,0,0,0,0,0,10.1266,0,0,0,0,0,0,35.443,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53165,0,0,0,0,0,0,0,2.53165,0,0,0,0,0,0,0,11.3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32911,0,0,0,0,0,0,5.06329,0,0,0,3.79747,0,0
51,233,4.60619,51.0638,0,0,0,0,0,0,17.0213,0,0,0,0,0,0,6.38298,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12766,0,0,2.12766,0,0,1.06383,0,0,0,2.12766,0,0,0,3.19149,0,0
52,238,4.76664,6.02007,0,0,0,0,0,0,7.02341,0,0,0,0,0.668896,9.36455,7.35786,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.107,0,7.02341,0,0,0,0,0,0,0,0,1.67224,0.334448,0,0,0,0,0.668896,0,0,8.3612,0,0,0.334448,0,0,0,7.69231,0,0,0,6.68896,0,0
53,254,5.3042,7.5,0,0,0,0,0,0,17.5,0,0,0,0,0,0,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2.5,0,0,0,18.75,0,0,0,12.5,0,0
54,268,5.7816,12,0,0,0,0,0,0,3.2,0,0,0,0,0,0,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,8,0,0,0,19.2,0,0
55,273,5.9521,0,0,0,0,0,0,0,4.1958,0,0,0,0,0,0,1.3986,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.1469,0,1.3986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3986,0,0,1.3986,0,0,0,0,0,0,2.7972,0,0,0,30.0699,0,0
56,278,6.1226,0,0,0,0,0,0,0,2.8169,0,0,0,0,0,0,4.22535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40845,0,0,0,0,0,0,0,0,0,5.6338,0,0,0,28.169,0,0
57,301,6.78957,0,0,0,0,0,0,0,10.2804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47664,0,5.60748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80374,0,0,36.4486,0,0,0,0,0,0,10.2804,0,0,0,17.757,0,0
58,306,6.89489,0,0,0,0,0,0,0,5.31915,0,0,0,0,9.57447,0,1.59574,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59574,0,0,0,0,0,0,0,3.7234,0,0,0,0,0,0,0,31.9149,0,2.65957,0,0,0,0,0,0,0,0,0,0.531915,0,0,0,0,2.12766,0,0,8.51064,0,0,0,0,0,0,8.51064,0,0,0,23.9362,0,0
59,311,7.00021,0,0,0,0,0,0,0,13.3758,0,0,0,0,0,0,2.54777,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4586,0,0,0,0,0,0,0.636943,2.54777,0,0,0,0,0,0,0,3.18471,0,8.9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64331,0,0,22.9299,0,0,7.00637,0,0,0,7.00637,0,0,0,19.7452,0,0
60,316,7.11703,0,0,0,0,0,0,0,39.1304,0,0,0,0,0,0,0.621118,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59006,0,0,0,0,0,0,0,3.72671,0,0,0,0,0,0,0,2.48447,0,3.72671,0,0,0,0,0,0,0,0,1.24224,0,0,0,1.24224,0,4.34783,0,0,24.2236,0,0,0,0,0,0,13.6646,0,0,0,0,0,0
61,321,7.3373,0,0,0,0,0,0,0,16.5289,0,0,0,0,0,0,9.09091,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30579,0,0,0,0,0,0,0,5.78512,0,0,0,0,0,0,0,0.826446,0,1.65289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7934,0,0,0.826446,0,0,0,30.5785,0,0,0,1.65289,0,0
62,323,7.42541,0,0,0,0,0,0,0,17.2043,0,0,0,0,2.15054,0.716846,6.09319,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37634,0,0,0,0,0,0,2.15054,16.8459,0,0,0,0,0,0,0,2.86738,0,7.16846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79211,0,0,3.22581,0,0,0,0,0,0,29.7491,0,0,0,2.50896,0,0
63,324,7.46946,0,0,0,0,0,0,0,18.0851,0,0,0,0,12.766,0,1.06383,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57447,0,0,0,0,0,0,0,17.0213,0,0,0,0,0,0,0,6.38298,0,9.57447,0,0,0,0,0,0,0,0,0,0,0,0,1.06383,0,0,0,0,1.06383,0,0,3.19149,0,0,0,20.2128,0,0,0,0,0,0
64,325,7.51351,0,0,0,0,0,0,0,15.2866,0,0,0,0,3.82166,0,1.91083,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28025,0,0,0,0,0,0,0,14.0127,0,0,0,0,0,0,0,4.4586,0,8.9172,0,0,0,0,0,0,0,0,3.82166,1.27389,0,0,0.636943,0,0,0,0,7.64331,0,0,3.82166,0,0,0,24.8408,0,0,0,0,0,0
65,326,7.55757,0,0,0,0,0,0,0,14.2132,0,0,0,0,3.04569,2.03046,2.03046,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03046,0,0,0,0,0,0,1.01523,6.59898,0,0,0,0,0,0,0,6.09137,0,16.7513,0,0,0,0,0,0,0,0,1.01523,1.01523,0,0,0,0,0,0,0,8.12183,0,0,2.03046,0,0,0,32.4873,0,0,0,1.52284,0,0
66,327,7.60162,0,0,0,0,0,0,0,3.55649,0,0,0,0,4.39331,0.83682,5.64854,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81172,0,0,0,0,0.209205,0,0,12.5523,0,0,0,0,0,0,0,13.8075,0,27.8243,0,0,0,0,0,0,0,0,0.83682,0.41841,0,0,0,0,0,0,0,3.76569,0,0,1.67364,0,0,0,19.2469,0,0,0,0,0,0
67,328,7.64568,0,0,0,0,0,0,0,7.87402,0,0,0,0,6.29921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14961,0,0,0,0,0,0,0,25.1969,0,0,0,0,0,0,0,0,0,29.9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5748,0,0,1.5748,0,0,3.14961,0,0,0,21.2598,0,0,0,0,0,0
68,329,7.68973,0,0,0,0,0,0,0,7.16846,0,0,0,0,4.30108,0,3.22581,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15054,0,0,0,0,0,0,0,31.8996,0,0,0,0,0,0,0,5.37634,0,11.4695,0,0,0,0,0,0,0,0,2.15054,2.86738,0,0,0,0,0,0,0,3.94265,0,0,1.07527,0,0,0,24.3728,0,0,0,0,0,0
69,330,7.73378,0,0,0,0,0,0,0,3.83562,0,0,0,0,4.38356,2.19178,1.64384,0,0,0,0,0,0,0,0,0,0,0,0,0,10.411,0,0,0,0,0,0,0.547945,25.4795,0,0,0,0,0,0,0,4.93151,0,11.7808,0,0,0,0,0,0,0,0,2.19178,1.09589,0,0,0.273973,0,0,0,0,9.0411,0,0,1.09589,0,0,0,18.3562,0,0,0,2.19178,0,0
70,331,7.77784,0,0,0,0,0,0,0,11.236,0,0,0,0,2.24719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9775,0,0,0,0,0,0,0,33.7079,0,0,0,0,0,0,0,2.24719,0,1.1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6067,0,0,0,0,0,0,16.8539,0,0,0,0,0,0
71,333,7.86595,0,0,0,0,0,0,0,3.02376,0,0,0,0,8.20734,0,1.07991,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5745,0,0,0,0,0,0,0,32.6134,0,0,0,0,0,0,0,3.67171,0,1.2959,0,0,0,0,0,0,0,0,0.431965,0.863931,0,0,0.863931,0,0,0,0,7.12743,0,0,1.72786,0,0,0,19.6544,0,0,0,0.863931,0,0
72,334,7.91,0,0,0,0,0,0,0,2.39362,0,0,0,0,14.3617,0.797872,2.12766,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0851,0,0,0,0,0,0,0,20.4787,0,0,0,0,0,0,0,6.11702,0,7.44681,0,0,0,0,0,0,0,0,1.06383,0,0,0,0.265957,0,0,0,0,3.45745,0,0,2.12766,0,0,0,20.7447,0,0,0,0.531915,0,0
73,335,8.01531,0,0,0,0,0,0,0,3.38462,0,0,0,0,8.61538,0,1.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3846,0,0,0,0,0,0,0,31.3846,0,0,0,0,0,0,0,1.53846,0,5.53846,0,0,0,0,0,0,0,0,1.23077,0,0,0,0,0,0,0,0,5.53846,0,0,0.615385,0,0,0,16.9231,0,0,0,0,0,0
74,336,8.12063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51724,0,0,0,0,0,0,0,0,0,0,0,0,0,22.069,0,0,0,0,0,0,0,24.1379,0,0,0,0,0,0,0,0,0,11.7241,0,0,0,0,0,0,0,0,1.37931,1.37931,0,0,0,0,0,0,0,0,0,0,2.75862,0,0,0,30.3448,0,0,0,0.689655,0,0
75,337,8.22594,0,0,0,0,0,0,0,4.7619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57143,0,0,0,0,0,0,0,60.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14286,0,0,0,0,0,0,21.4286,0,0,0,0,0,0
76,338,8.33125,0,0,0,0,0,0,0,1.02041,0,0,0,0,8.16327,1.02041,1.02041,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7551,0,0,0,0,1.02041,0,0,40.3061,0,0,0,0,0,0,0,2.55102,0,8.16327,0,0,0,0,0,0,0,0,0,0,0,0,1.02041,0,0,0,0,4.59184,0,0,0,0,0,0,18.3673,0,0,0,0,0,0
77,339,8.43656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61157,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1818,0,0,0,0,0,0,0,24.7934,0,0,0,0,0,0,0,2.47934,0,8.26446,0,0,0,0,0,0,0,0,3.30579,0,0,0,0.826446,0,0,0,0,0.826446,0,0,0,0,0,0,33.8843,0,0,0,0,0,0
78,340,8.54188,0,0,0,0,0,0,0,0,0,0,0,0,2.32558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7442,0,0,0,0,0,0,0,34.8837,0,0,0,0,0,0,0,0,0,15.1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32558,0,0,0,0,0,0,18.6047,0,0,0,0,0,0
79,341,8.64719,0,0,0,0,0,0,0,0,0,0,0,0,0.888889,1.77778,2.22222,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3333,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2.22222,0,13.3333,0,0,0,0,0,0,0,0,1.77778,0.888889,0,0,1.77778,0,0,0,0,1.77778,0,0,0,0,0,0,21.7778,0,0,0,1.33333,0,0
80,342,8.7525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17647,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7059,0,0,0,0,0,0,0,29.4118,0,0,0,0,0,0,0,2.35294,0,7.05882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17647,0,2.35294,0,0,2.35294,0,0,0,22.3529,0,0,0,7.05882,0,0
81,343,8.85781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22535,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9859,0,0,0,0,0,0,0,39.4366,0,0,0,0,0,0,0,0,0,1.40845,0,0,0,0,0,0,0,0,0,2.8169,0,0,2.8169,0,0,0,0,0,0,0,5.6338,0,0,0,12.6761,0,0,0,0,0,0
82,344,8.96313,0,0,0,0,0,0,0,0,0,0,0,0,1.90476,0,6.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333,0,0,0,0,0.47619,0,0,26.1905,0,0,0,0,0,0,0,0,0,7.14286,0,0,0,0,0,0,0,0,1.90476,0.952381,0,0,0.952381,0,0,0,0,3.33333,0,0,0,0,0,0,15.7143,0,0,0,0,0,0
83,345,9.06844,0,0,0,0,0,0,0,0,0,0,0,0,6.61157,0.826446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2314,0,0,0,0,0,0,0,30.5785,0,0,0,0,0,0,0,1.65289,0,2.47934,0,0,0,0,0,0,0,0,0,0,0,0,0.826446,0,0,0,0,0,0,0,1.65289,0,0,0,22.314,0,0,0,0.826446,0,0
84,349,9.48969,0,0,0,0,0,0,0,0,0,0,0,0,1.18343,0,1.18343,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9349,0,0,0,0,0,0,0,34.3195,0,0,0,0,0,0,0,2.95858,0,17.1598,0,0,0,0,0,0,0,0,2.36686,1.77515,0,0,1.18343,0,0,0,0,3.5503,0,0,1.18343,0,0,0,14.2012,0,0,0,0,0,0
85,350,9.595,0,0,0,0,0,0,0,0,0,0,0,0,1.35135,0,2.02703,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8378,0,0,0,0,0,0,0,32.4324,0,0,0,0,0,0,0,0.675676,0,14.1892,0,0,0,0,0,0,0,0,2.7027,0,0,0,2.02703,0,0,0,0,0,0,0,1.35135,0,0,0,29.0541,0,0,0,1.35135,0,0
86,351,9.60962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95455,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,48.8636,0,0,0,0,0,0,0,3.40909,0,7.95455,0,0,0,0,0,0,0,0,1.13636,0,0,0,0,0,0,0,0,3.40909,0,0,0,0,0,0,8.52273,0,0,0,0,0,0
87,356,9.68269,0,0,0,0,0,0,0,0,0,0,0,0,1.86916,0,4.6729,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8224,0,0,0,0,0,0.934579,0,40.6542,0,0,0,0,0,0,0,0,0,15.4206,0,0,0,0,0,0,0,0,0,3.27103,0,0,0,0,0,0,0,0,0,0,1.40187,0,0,0,14.0187,0,0,0,0,0,0
88,361,9.75577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81818,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3636,0,0,0,0,0,0,0,38.1818,0,0,0,0,0,0,0,0,0,11.8182,0,0,0,0,0,0,0,0,1.81818,0,0,0,0,0,0,0,0,1.81818,0,0,1.81818,0,0,0,6.36364,0,0,0,0,0,0
89,366,9.82885,0,0,0,0,0,0,0,0,0,0,0,0,1.14943,0,4.5977,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0575,0,0,0,0,0,0,0,41.954,0,0,0,0,0,0,0,0.574713,0,0,0,0,0,0,0,0,0,0,0,1.14943,0,0,0,0,0,1.14943,0,1.14943,0,0,0,0,0,0,10.9195,0,0,0,0,0,0
90,371,9.90192,0,0,0,0,0,0,0,6.61765,0,0,0,0,7.35294,0,2.94118,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6471,0,0,0,0,0,0,0,0.735294,0,0,0,0,0,0,0,19.1176,0,2.20588,0,0,0,0,0,0,0,0,4.41176,0,0,0,0,0,0,0,0,10.2941,0,0,2.94118,0,0,0,13.2353,0,0,0,12.5,0,0
91,377,9.98962,0,0,0,0,0,0,0,0.772201,0,0,0,0,2.3166,1.5444,6.56371,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5444,0,0,0,0,0,0,0,42.8571,0,0,0,0,0,0,0,0.772201,0,0,0,0,0,0,0,0,0,0,9.26641,0,0,0,0,0,0,0,0,4.2471,0,0,2.3166,0,0,0,25.0965,0,0,0,0.3861,0,0
92,382,10.0627,0,0,0,0,0,0,0,6.60377,0,0,0,0,7.54717,0,0.943396,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60377,0,0,0,0,0,0,0,41.5094,0,0,0,0,0,0,0,13.2075,0,0.943396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66038,0,0,0,14.1509,0,0,0,0.943396,0,0
93,387,10.1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64198,0,0,0,0,0,0,0,64.1975,0,0,0,0,0,0,0,1.23457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46914,0,0,2.46914,0,0,0,19.7531,0,0,0,1.23457,0,0
